Идентификатор объекта;Адрес недвижимости;Тип недвижимости;Площадь объекта;Цена;Количество комнат;Состояние объекта;Контактные данные собственника;Статус объекта;Дата добавления информации
194;с. Александров, пер. Тополиный, д. 347, 653008;дом;188;15963482;1;требует ремонта;+7 (922) 569-50-33;продается;02.09.2022
195;ст. Мелеуз, ш. Студенческое, д. 8 к. 37, 394608;квартира;34;11882088;5;требует ремонта;+7 730 009 70 72;зарезервирован;13.06.2022
196;клх Красноуральск, алл. Морская, д. 24 стр. 93, 854225;земельный участок;132;1855931;1;жилое;+7 068 410 39 21;зарезервирован;26.05.2022
197;п. Городовиковск, ул. Лунная, д. 1 к. 8, 376583;земельный участок;37;9121896;5;требует ремонта;71 560 581 478;зарезервирован;13.07.2021
198;клх Киржач, пр. Безымянный, д. 8/2 стр. 828, 972678;дом;50;18645807;1;жилое;+7 (873) 080-3973;сдается;25.07.2020
199;ст. Краснодар, ул. Бабушкина, д. 81, 122347;земельный участок;86;19608765;3;требует ремонта;81 909 304 970;зарезервирован;03.08.2021
200;с. Ямбург, ш. Энгельса, д. 2/6, 168874;земельный участок;66;11109150;1;жилое;74 536 151 626;зарезервирован;25.05.2021
201;клх Шумиха, пер. Вишневый, д. 17 стр. 68, 598022;дом;63;9293019;4;новостройка;75291300200;сдается;08.07.2022
202;г. Углич, алл. Окружная, д. 8 к. 33, 450011;дом;131;4861417;2;новостройка;82 887 036 771;зарезервирован;28.06.2022
203;г. Ржев, пер. Волкова, д. 1, 345842;квартира;141;9650315;4;требует ремонта;85 238 790 666;зарезервирован;26.11.2020
204;д. Галич, ш. Монтажников, д. 2 стр. 218, 042114;земельный участок;104;7265328;2;новостройка;8 431 214 36 06;продается;31.07.2022
205;ст. Хабаровск, бул. Жданова, д. 57 стр. 9, 626360;земельный участок;129;7015275;3;требует ремонта;+7 (110) 387-34-70;зарезервирован;26.12.2021
206;г. Камышлов, ул. Ставропольская, д. 16 к. 91, 303334;квартира;188;4958628;5;новостройка;8 027 708 84 61;зарезервирован;16.11.2022
207;клх Сорочинск, наб. Проточная, д. 5, 437528;земельный участок;125;12991909;2;жилое;81499659998;сдается;14.11.2022
208;п. Агата, пр. Рязанский, д. 9/5 стр. 988, 555991;земельный участок;160;17359366;4;новостройка;+7 567 720 05 30;сдается;30.06.2021
209;г. Онега, ул. Мая 1, д. 4 стр. 6, 473814;земельный участок;186;17494650;1;новостройка;87 033 679 937;продается;24.05.2023
210;д. Нижний Новгород, ул. Главная, д. 1/9 стр. 890, 878530;земельный участок;70;6153010;1;новостройка;87 300 779 637;продается;06.03.2022
211;с. Юрюзань, ул. Плеханова, д. 496 стр. 183, 913929;дом;83;17681568;1;требует ремонта;77971783433;продается;01.03.2021
212;д. Кисловодск, алл. Трудовая, д. 9/6 стр. 4/7, 840544;дом;24;9652588;5;требует ремонта;85 786 078 962;продается;03.04.2022
213;д. Андреаполь, пр. Глинки, д. 3/4 к. 471, 754138;квартира;184;1463783;3;требует ремонта;+7 032 857 62 83;зарезервирован;10.11.2021
214;с. Ангарск, бул. Портовый, д. 293 стр. 72, 615181;квартира;104;16570101;5;требует ремонта;79 018 665 145;продается;28.06.2021
215;к. Дубна, пер. Курчатова, д. 5/5, 576526;дом;157;18519115;4;жилое;+7 639 636 55 73;сдается;06.07.2023
216;с. Курчатов, алл. Ярославская, д. 70 стр. 816, 794778;земельный участок;75;18160209;4;жилое;82 099 721 467;сдается;26.06.2021
217;с. Адыгейск, пр. Революционный, д. 415 стр. 26, 188435;земельный участок;156;1991943;3;требует ремонта;8 (745) 660-05-30;продается;22.10.2020
218;с. Буденновск, пер. Иванова, д. 4 стр. 6/2, 596445;земельный участок;134;16941618;5;новостройка;+7 (606) 363-4873;зарезервирован;20.03.2023
219;с. Верхний Тагил, наб. Смоленская, д. 3/2 к. 16, 634374;квартира;157;12906205;4;требует ремонта;86 789 540 357;сдается;20.04.2021
220;г. Курумкан, наб. Ворошилова, д. 18, 938181;дом;103;11239684;5;требует ремонта;8 (778) 026-89-10;сдается;27.05.2021
221;п. Диксон, ул. Морозова, д. 97 к. 7, 062769;земельный участок;72;19218093;1;требует ремонта;87925449584;продается;03.03.2021
222;г. Березники, алл. Гоголя, д. 8 стр. 928, 153044;земельный участок;117;11494921;4;жилое;75743494748;продается;15.01.2022
223;ст. Урюпинск, бул. Лесозаводский, д. 9/8, 416919;дом;118;9474423;1;жилое;79833929543;зарезервирован;09.08.2022
224;д. Котлас, пр. Ульяновский, д. 2/5 к. 877, 589102;квартира;106;3089794;3;новостройка;81219408617;продается;25.06.2022
225;к. Нижний Тагил, бул. Тимирязева, д. 3 к. 6/2, 300546;земельный участок;50;9881659;5;жилое;8 (769) 523-70-60;продается;14.08.2021
226;с. Гагарин, алл. Заводская, д. 4, 193476;дом;184;10836079;1;новостройка;8 (498) 889-0292;сдается;12.01.2023
227;ст. Кизел, пер. Парижской Коммуны, д. 85, 446800;квартира;189;18684206;2;жилое;8 945 821 79 71;сдается;27.04.2023
228;г. Апатиты, бул. Шаумяна, д. 14 стр. 3, 691171;земельный участок;116;7746667;3;жилое;82958608349;продается;05.01.2021
229;г. Боровск, бул. Мелиоративный, д. 824 стр. 9, 765472;земельный участок;54;19977468;5;новостройка;8 797 181 77 68;зарезервирован;01.01.2022
230;к. Абакан, алл. Ключевая, д. 4 стр. 9, 776577;квартира;193;14362955;3;жилое;+7 (788) 250-08-71;зарезервирован;22.02.2022
231;клх Челюскин, пр. Азина, д. 5/2 стр. 37, 930778;земельный участок;161;12146510;5;требует ремонта;89 705 802 597;зарезервирован;27.11.2021
232;к. Адлер, пр. Бригадный, д. 6/6, 884189;земельный участок;170;2086537;4;жилое;8 (416) 021-54-04;сдается;10.06.2022
233;д. Сосногорск, ул. Саратовская, д. 496 стр. 2/1, 719911;земельный участок;50;3442489;3;жилое;+7 325 781 69 14;продается;14.04.2023
234;ст. Нурлат, пр. Краснофлотский, д. 817 к. 924, 155756;квартира;134;4120168;4;требует ремонта;73 980 628 698;зарезервирован;10.12.2022
235;клх Бузулук, ш. Свободное, д. 938 стр. 67, 392034;земельный участок;194;9026830;3;жилое;8 (516) 297-90-19;продается;25.12.2020
236;с. Охотск, ул. Депутатская, д. 71, 209027;квартира;21;13412582;3;новостройка;+7 314 064 11 73;сдается;18.03.2022
237;г. Красновишерск, ул. Портовая, д. 9, 664003;квартира;25;2148439;3;требует ремонта;+7 (237) 616-1775;сдается;27.11.2021
238;клх Асино, пр. Шахтерский, д. 286 к. 118, 333682;дом;98;6579248;1;требует ремонта;8 (959) 147-83-72;зарезервирован;07.03.2021
239;с. Воронеж, пр. Привольный, д. 797, 518150;квартира;164;15303026;1;новостройка;8 (878) 111-31-99;продается;05.09.2021
240;ст. Майкоп, пер. Ветеранов, д. 5, 875915;дом;171;2524342;3;жилое;+7 676 734 35 88;зарезервирован;27.04.2021
241;д. Хатанга, наб. Звездная, д. 9/4 стр. 3, 691335;дом;45;18570208;2;жилое;83454755702;зарезервирован;17.10.2022
242;клх Пушкинские Горы, наб. Молодежная, д. 548 стр. 7/3, 568610;земельный участок;45;7461601;5;новостройка;85698197061;зарезервирован;29.12.2022
243;д. Асино, бул. Космодемьянской, д. 895 к. 920, 588824;дом;116;8365938;1;новостройка;78 478 700 592;продается;02.02.2022
244;клх Нягань, ул. Братская, д. 956 стр. 655, 615070;квартира;137;16229289;1;новостройка;+7 (078) 854-71-50;зарезервирован;04.06.2021
245;д. Тихорецк, наб. Весенняя, д. 654 к. 908, 213553;квартира;100;11994244;2;требует ремонта;8 (659) 797-89-75;зарезервирован;30.09.2021
246;с. Петушки, бул. Невского, д. 9 стр. 936, 722038;квартира;24;17104917;4;требует ремонта;76233081200;зарезервирован;29.10.2021
247;с. Мончегорск, пр. Автомобилистов, д. 4 стр. 7/6, 131529;дом;38;17124077;3;требует ремонта;8 613 198 53 12;сдается;27.11.2022
248;д. Кулу, алл. Подстанция, д. 48 стр. 98, 798276;дом;31;9506142;5;новостройка;+7 (493) 993-16-12;продается;13.07.2022
